Table Code,State Code,Area Name,Total/Rural/Urban,Female Main Workers/Marginal Workers,Marital Status,Female - Population,Total Female - Main/Marginal Workers,A - Cultivators,,A - Agricultural Labourers,"A - Plantation, Livestock, Forestry, Fishing, Hunting and Allied Activities",B,C - HHI,C - Non HHI,D & E,F,G - HHI,G - Non HHI,H,I,J - HHI,J - Non HHI,K to M,N to O,P to Q,R to U - HHI,R to U - Non HHI
B1717,0,India,Total,Total Female Workers,Total,149948993,149960362,36045846,,61591353,4495760,333953,5753023,6364035,196411,3833704,3364,2859876,506207,546846,5657,502433,793129,2151022,8265932,2805911,12905900
B1717,0,India,Total,Total Female Workers,Never Married,18495547,18490107,3577255,,6004878,470201,38183,826995,1320184,22714,376353,601,394730,85253,52249,1390,192899,186577,430162,1246689,370476,2892318
B1717,0,India,Total,Total Female Workers,Married,115003815,115023590,29411382,,48733751,3516658,236124,4343324,4240572,124237,2788788,2449,1894104,335687,344739,3938,286492,541495,1395872,6110394,2219624,8493960
B1717,0,India,Total,Total Female Workers,Widowed,14445414,14443180,2861312,,5988048,453267,52334,495479,647614,45380,567874,287,495495,77048,126809,267,17200,52421,287169,747439,196406,1331331
B1717,0,India,Total,Total Female Workers,Separated,1492117,1490745,142519,,668038,42309,5834,59034,116283,2789,80129,22,55605,5897,18291,37,3318,7315,24397,107056,13588,138284
B1717,0,India,Total,Total Female Workers,Divorced,512100,512740,53378,,196638,13325,1478,28191,39382,1291,20560,5,19942,2322,4758,25,2524,5321,13422,54354,5817,50007
B1717,0,India,Total,Main Workers,Total,89355595,89374937,22875276,,30912848,2501386,250189,3461018,4850290,172649,2038268,2600,2301154,443669,464151,4625,467279,737650,1976287,7692461,1329458,6893679
B1717,0,India,Total,Main Workers,Never Married,9617353,9615343,1573206,,2521853,198709,25178,446300,991414,19067,211805,463,317758,73206,43567,1150,178081,172687,391775,1103986,151582,1193556
B1717,0,India,Total,Main Workers,Married,68316028,68337910,19080752,,24215755,1955264,175943,2616268,3208170,108387,1413524,1901,1501920,293221,291058,3208,267654,503810,1279404,5733199,1054721,4633751
B1717,0,India,Total,Main Workers,Widowed,9974875,9974240,2077185,,3617054,309228,43569,337533,523185,41646,348431,222,417701,70229,109518,210,16173,49441,270022,704477,111585,926831
B1717,0,India,Total,Main Workers,Separated,1082730,1082212,105713,,437820,29882,4409,41931,96172,2411,51723,13,46888,4902,15911,32,3031,6761,22522,99823,8260,104008
B1717,0,India,Total,Main Workers,Divorced,364609,365232,38420,,120366,8303,1090,18986,31349,1138,12785,1,16887,2111,4097,25,2340,4951,12564,50976,3310,35533
B1717,0,India,Total,Marginal Workers,Total,60593398,60585425,13170570,,30678505,1994374,83764,2292005,1513745,23762,1795436,764,558722,62538,82695,1032,35154,55479,174735,573471,1476453,6012221
B1717,0,India,Total,Marginal Workers,Never Married,8878194,8874764,2004049,,3483025,271492,13005,380695,328770,3647,164548,138,76972,12047,8682,240,14818,13890,38387,142703,218894,1698762
B1717,0,India,Total,Marginal Workers,Married,46687787,46685680,10330630,,24517996,1561394,60181,1727056,1032402,15850,1375264,548,392184,42466,53681,730,18838,37685,116468,377195,1164903,3860209
B1717,0,India,Total,Marginal Workers,Widowed,4470539,4468940,784127,,2370994,144039,8765,157946,124429,3734,219443,65,77794,6819,17291,57,1027,2980,17147,42962,84821,404500
B1717,0,India,Total,Marginal Workers,Separated,409387,408533,36806,,230218,12427,1425,17103,20111,378,28406,9,8717,995,2380,5,287,554,1875,7233,5328,34276
B1717,0,India,Total,Marginal Workers,Divorced,147491,147508,14958,,76272,5022,388,9205,8033,153,7775,4,3055,211,661,0,184,370,858,3378,2507,14474
B1717,0,India,Rural,Total Female Workers,Total,121906079,121913280,35189330,,59066086,4043563,248878,3989315,2846059,52593,2276765,1179,1113804,147506,210425,996,45868,116753,475164,3715445,2097111,6276440
