,Table Code,State Code,Area Name,Total/Rural/Urban,Female Main Workers/Marginal Workers,Marital Status,Female - Population,Total Female - Main/Marginal Workers,Number of Workers,Industry,A - Agricultural Labourers,B,C - HHI,C - Non HHI,D & E,F,G - HHI,G - Non HHI,H,I,J - HHI,J - Non HHI,K to M,N to O,P to Q,R to U - HHI,R to U - Non HHI
0,B1717,0,India,Total,Total Female Workers,Total,149948993,149960362,36045846,A - Cultivators,,,,,,,,,,,,,,,,,
1,B1717,0,India,Total,Total Female Workers,Never Married,18495547,18490107,3577255,A - Cultivators,,,,,,,,,,,,,,,,,
2,B1717,0,India,Total,Total Female Workers,Married,115003815,115023590,29411382,A - Cultivators,,,,,,,,,,,,,,,,,
3,B1717,0,India,Total,Total Female Workers,Widowed,14445414,14443180,2861312,A - Cultivators,,,,,,,,,,,,,,,,,
4,B1717,0,India,Total,Total Female Workers,Separated,1492117,1490745,142519,A - Cultivators,,,,,,,,,,,,,,,,,
5,B1717,0,India,Total,Total Female Workers,Divorced,512100,512740,53378,A - Cultivators,,,,,,,,,,,,,,,,,
6,B1717,0,India,Total,Main Workers,Total,89355595,89374937,22875276,A - Cultivators,,,,,,,,,,,,,,,,,
7,B1717,0,India,Total,Main Workers,Never Married,9617353,9615343,1573206,A - Cultivators,,,,,,,,,,,,,,,,,
8,B1717,0,India,Total,Main Workers,Married,68316028,68337910,19080752,A - Cultivators,,,,,,,,,,,,,,,,,
9,B1717,0,India,Total,Main Workers,Widowed,9974875,9974240,2077185,A - Cultivators,,,,,,,,,,,,,,,,,
10,B1717,0,India,Total,Main Workers,Separated,1082730,1082212,105713,A - Cultivators,,,,,,,,,,,,,,,,,
11,B1717,0,India,Total,Main Workers,Divorced,364609,365232,38420,A - Cultivators,,,,,,,,,,,,,,,,,
12,B1717,0,India,Total,Marginal Workers,Total,60593398,60585425,13170570,A - Cultivators,,,,,,,,,,,,,,,,,
13,B1717,0,India,Total,Marginal Workers,Never Married,8878194,8874764,2004049,A - Cultivators,,,,,,,,,,,,,,,,,
14,B1717,0,India,Total,Marginal Workers,Married,46687787,46685680,10330630,A - Cultivators,,,,,,,,,,,,,,,,,
15,B1717,0,India,Total,Marginal Workers,Widowed,4470539,4468940,784127,A - Cultivators,,,,,,,,,,,,,,,,,
16,B1717,0,India,Total,Marginal Workers,Separated,409387,408533,36806,A - Cultivators,,,,,,,,,,,,,,,,,
17,B1717,0,India,Total,Marginal Workers,Divorced,147491,147508,14958,A - Cultivators,,,,,,,,,,,,,,,,,
18,B1717,0,India,Rural,Total Female Workers,Total,121906079,121913280,35189330,A - Cultivators,,,,,,,,,,,,,,,,,
19,B1717,0,India,Rural,Total Female Workers,Never Married,13425405,13418626,3455623,A - Cultivators,,,,,,,,,,,,,,,,,
20,B1717,0,India,Rural,Total Female Workers,Married,96102093,96116472,28779460,A - Cultivators,,,,,,,,,,,,,,,,,
21,B1717,0,India,Rural,Total Female Workers,Widowed,10957597,10958479,2766050,A - Cultivators,,,,,,,,,,,,,,,,,
22,B1717,0,India,Rural,Total Female Workers,Separated,1072521,1071217,137365,A - Cultivators,,,,,,,,,,,,,,,,,
23,B1717,0,India,Rural,Total Female Workers,Divorced,348463,348486,50832,A - Cultivators,,,,,,,,,,,,,,,,,
24,B1717,0,India,Rural,Main Workers,Total,67773091,67786149,22319869,A - Cultivators,,,,,,,,,,,,,,,,,
25,B1717,0,India,Rural,Main Workers,Never Married,6011914,6009458,1518168,A - Cultivators,,,,,,,,,,,,,,,,,
26,B1717,0,India,Rural,Main Workers,Married,53677805,53693121,18661772,A - Cultivators,,,,,,,,,,,,,,,,,
27,B1717,0,India,Rural,Main Workers,Widowed,7122738,7123851,2001602,A - Cultivators,,,,,,,,,,,,,,,,,
28,B1717,0,India,Rural,Main Workers,Separated,733652,732858,101835,A - Cultivators,,,,,,,,,,,,,,,,,
29,B1717,0,India,Rural,Main Workers,Divorced,226982,226861,36492,A - Cultivators,,,,,,,,,,,,,,,,,
30,B1717,0,India,Rural,Marginal Workers,Total,54132988,54127131,12869461,A - Cultivators,,,,,,,,,,,,,,,,,
31,B1717,0,India,Rural,Marginal Workers,Never Married,7413491,7409168,1937455,A - Cultivators,,,,,,,,,,,,,,,,,
32,B1717,0,India,Rural,Marginal Workers,Married,42424288,42423351,10117688,A - Cultivators,,,,,,,,,,,,,,,,,
33,B1717,0,India,Rural,Marginal Workers,Widowed,3834859,3834628,764448,A - Cultivators,,,,,,,,,,,,,,,,,
34,B1717,0,India,Rural,Marginal Workers,Separated,338869,338359,35530,A - Cultivators,,,,,,,,,,,,,,,,,
35,B1717,0,India,Rural,Marginal Workers,Divorced,121481,121625,14340,A - Cultivators,,,,,,,,,,,,,,,,,
36,B1717,0,India,Urban,Total Female Workers,Total,28042914,28047082,856516,A - Cultivators,,,,,,,,,,,,,,,,,
37,B1717,0,India,Urban,Total Female Workers,Never Married,5070142,5071481,121632,A - Cultivators,,,,,,,,,,,,,,,,,
38,B1717,0,India,Urban,Total Female Workers,Married,18901722,18907118,631922,A - Cultivators,,,,,,,,,,,,,,,,,
39,B1717,0,India,Urban,Total Female Workers,Widowed,3487817,3484701,95262,A - Cultivators,,,,,,,,,,,,,,,,,
40,B1717,0,India,Urban,Total Female Workers,Separated,419596,419528,5154,A - Cultivators,,,,,,,,,,,,,,,,,
41,B1717,0,India,Urban,Total Female Workers,Divorced,163637,164254,2546,A - Cultivators,,,,,,,,,,,,,,,,,
42,B1717,0,India,Urban,Main Workers,Total,21582504,21588788,555407,A - Cultivators,,,,,,,,,,,,,,,,,
43,B1717,0,India,Urban,Main Workers,Never Married,3605439,3605885,55038,A - Cultivators,,,,,,,,,,,,,,,,,
44,B1717,0,India,Urban,Main Workers,Married,14638223,14644789,418980,A - Cultivators,,,,,,,,,,,,,,,,,
45,B1717,0,India,Urban,Main Workers,Widowed,2852137,2850389,75583,A - Cultivators,,,,,,,,,,,,,,,,,
46,B1717,0,India,Urban,Main Workers,Separated,349078,349354,3878,A - Cultivators,,,,,,,,,,,,,,,,,
47,B1717,0,India,Urban,Main Workers,Divorced,137627,138371,1928,A - Cultivators,,,,,,,,,,,,,,,,,
48,B1717,0,India,Urban,Marginal Workers,Total,6460410,6458294,301109,A - Cultivators,,,,,,,,,,,,,,,,,
49,B1717,0,India,Urban,Marginal Workers,Never Married,1464703,1465596,66594,A - Cultivators,,,,,,,,,,,,,,,,,
50,B1717,0,India,Urban,Marginal Workers,Married,4263499,4262329,212942,A - Cultivators,,,,,,,,,,,,,,,,,
51,B1717,0,India,Urban,Marginal Workers,Widowed,635680,634312,19679,A - Cultivators,,,,,,,,,,,,,,,,,
52,B1717,0,India,Urban,Marginal Workers,Separated,70518,70174,1276,A - Cultivators,,,,,,,,,,,,,,,,,
53,B1717,0,India,Urban,Marginal Workers,Divorced,26010,25883,618,A - Cultivators,,,,,,,,,,,,,,,,,
54,B1717,1,State - Jammu & Kashmir,Total,Total Female Workers,Total,1127623,1127469,479789,A - Cultivators,,,,,,,,,,,,,,,,,
55,B1717,1,State - Jammu & Kashmir,Total,Total Female Workers,Never Married,263816,264034,96740,A - Cultivators,,,,,,,,,,,,,,,,,
56,B1717,1,State - Jammu & Kashmir,Total,Total Female Workers,Married,802329,802118,357374,A - Cultivators,,,,,,,,,,,,,,,,,
57,B1717,1,State - Jammu & Kashmir,Total,Total Female Workers,Widowed,53635,53476,22594,A - Cultivators,,,,,,,,,,,,,,,,,
58,B1717,1,State - Jammu & Kashmir,Total,Total Female Workers,Separated,3691,3675,1539,A - Cultivators,,,,,,,,,,,,,,,,,
59,B1717,1,State - Jammu & Kashmir,Total,Total Female Workers,Divorced,4152,4166,1542,A - Cultivators,,,,,,,,,,,,,,,,,
60,B1717,1,State - Jammu & Kashmir,Total,Main Workers,Total,338361,338533,80052,A - Cultivators,,,,,,,,,,,,,,,,,
61,B1717,1,State - Jammu & Kashmir,Total,Main Workers,Never Married,68538,69047,12396,A - Cultivators,,,,,,,,,,,,,,,,,
62,B1717,1,State - Jammu & Kashmir,Total,Main Workers,Married,243173,242928,59977,A - Cultivators,,,,,,,,,,,,,,,,,
